customer_id,avg_transaction_value
C1000,2201.7599999999998
C1001,1708.355882352941
C1002,3166.32
C1003,3035.976666666667
C1004,1078.3108333333332
C1005,2572.7714285714287
C1006,2266.318888888889
C1007,2700.9713333333334
C1008,3511.3526666666667
C1009,2887.0790909090906
C1010,1963.7830000000001
C1011,2503.03375
C1012,2894.997272727273
C1013,2306.25
C1014,2711.411818181818
C1015,2971.7466666666664
C1016,2067.8541666666665
C1017,3256.501333333333
C1018,2467.4022222222225
C1019,2387.6252941176467
C1020,1841.806
C1021,2499.277
C1022,2655.087777777778
C1023,2115.25875
C1024,2386.6476470588236
C1025,1784.1638461538462
C1026,2748.259
C1027,3110.570833333333
C1028,2108.0275
C1029,2449.759
C1030,3005.9007142857145
C1031,2244.705
C1032,2418.132941176471
C1033,2051.3782352941175
C1034,1673.7907142857143
C1035,3231.902
C1036,2770.101666666667
C1037,1872.0727272727272
C1038,1556.9866666666667
C1039,1348.2658333333334
C1040,2926.6945454545453
C1041,3168.6876923076925
C1042,2182.617333333333
C1043,2863.812
C1044,2732.535
C1045,1790.0846153846153
C1046,3620.5099999999998
C1047,2113.93
C1048,1369.03
C1049,2568.67625
C1050,2672.733888888889
C1051,1707.6542857142856
C1052,1969.6075
C1053,2414.1125
C1054,2228.375
C1055,1938.2525
C1056,1456.5336363636363
C1057,2226.6766666666667
C1058,2676.12375
C1059,1269.622
C1060,2549.0914285714284
C1061,2486.633333333333
C1062,2788.855
C1063,3041.1555555555556
C1064,1877.44
C1065,2735.38625
C1066,2334.605
C1067,2570.2766666666666
C1068,1155.021
C1069,2779.736
C1070,2857.190588235294
C1071,2570.7599999999998
C1072,2714.3952380952383
C1073,1656.2278571428574
C1074,2690.5585
C1075,3.8477777777778153
C1076,2795.5615384615385
C1077,2603.454
C1078,2250.0535
C1079,2612.6949999999997
C1080,3212.882857142857
C1081,2839.8921428571425
C1082,2344.287857142857
C1083,1955.7822222222223
C1084,1974.2593333333332
C1085,3150.5425
C1086,3152.1808333333333
C1087,2537.7357142857145
C1088,2990.111
C1089,2411.556153846154
C1090,2538.7154545454546
C1091,2395.8564285714283
C1092,1854.361818181818
C1093,2217.675625
C1094,2984.0646153846155
C1095,1916.7585714285713
C1096,1554.3978571428572
C1097,2615.413
C1098,2359.758888888889
C1099,2020.7933333333333
C1100,2558.08
C1101,3029.411666666667
C1102,2719.7754545454545
C1103,2869.6154545454547
C1104,1456.37
C1105,1297.3658333333333
C1106,1942.0918749999998
C1107,2529.28375
C1108,2536.8576470588237
C1109,1816.7907142857143
C1110,2588.097222222222
C1111,3162.3888888888887
C1112,2035.2768421052633
C1113,2011.6105263157895
C1114,2461.0484615384617
C1115,1702.52125
C1116,2658.5185714285717
C1117,2706.1684615384615
C1118,2791.1395
C1119,3067.8971428571426
C1120,2691.394375
C1121,2993.4504761904764
C1122,1492.6050000000002
C1123,3396.1666666666665
C1124,2822.4857142857145
C1125,2897.7149999999997
C1126,2845.0185714285717
C1127,2016.8525000000002
C1128,2767.3433333333332
C1129,1447.322380952381
C1130,2334.439523809524
C1131,2286.6071428571427
C1132,3644.8082352941174
C1133,2239.7066666666665
C1134,2314.455
C1135,2890.0882352941176
C1136,3209.8973333333333
C1137,1998.4466666666667
C1138,3065.2642857142855
C1139,3251.8878571428572
C1140,3568.785714285714
C1141,2972.225
C1142,2593.26
C1143,3475.0623076923075
C1144,1735.24
C1145,2391.3764285714287
C1146,2413.8345454545456
C1147,3131.1090909090913
C1148,2258.4378571428574
C1149,2897.6107142857145
C1150,2399.3158333333336
C1151,2654.534736842105
C1152,2570.6864705882354
C1153,3307.5266666666666
C1154,2527.975
C1155,2647.9075
C1156,1970.8000000000002
C1157,1686.355
C1158,2664.2686666666664
C1159,2537.09
C1160,2267.6229411764702
C1161,2904.8900000000003
C1162,2676.8326666666667
C1163,4178.92125
C1164,1678.03375
C1165,364.3299999999999
C1166,2885.471666666667
C1167,2965.0315384615387
C1168,2365.0207692307695
C1169,2326.81
C1170,2794.518888888889
C1171,2582.6413333333335
C1172,2145.0681250000002
C1173,1509.4205263157894
C1174,2212.4307692307693
C1175,2459.845714285714
C1176,2601.231111111111
C1177,3236.615
C1178,1603.733
C1179,3197.599230769231
C1180,2871.1075
C1181,2480.190666666667
C1182,3148.117222222222
C1183,2070.617222222222
C1184,2117.8441666666668
C1185,2537.368461538462
C1186,2489.5591666666664
C1187,2241.0822222222223
C1188,2711.184
C1189,1694.205
C1190,2987.5025
C1191,2313.779090909091
C1192,2346.05
C1193,3515.0554545454547
C1194,1650.472142857143
C1195,2652.272857142857
C1196,2873.07875
C1197,2101.2031578947367
C1198,3188.457
C1199,3190.0208333333335
C1200,2814.7276923076925
C1201,2208.416875
C1202,3045.960666666667
C1203,3477.384
C1204,3151.1078571428575
C1205,2666.110909090909
C1206,2732.0222222222224
C1207,3283.4345454545455
C1208,1449.8407692307692
C1209,3284.019166666667
C1210,2723.1917647058826
C1211,2938.385454545454
C1212,2182.8125
C1213,3246.766
C1214,2729.154117647059
C1215,2770.155
C1216,2200.683846153846
C1217,2523.30125
C1218,3434.7871428571425
C1219,4863.414
C1220,2382.17
C1221,3136.2445454545455
C1222,2519.105
C1223,2463.2485714285717
C1224,2320.7008333333333
C1225,3062.5776470588235
C1226,2026.253
C1227,2689.7262499999997
C1228,3366.9049999999997
C1229,2816.597
C1230,3234.679230769231
C1231,3260.2916666666665
C1232,2418.995294117647
C1233,2696.0136363636366
C1234,2382.944615384615
C1235,1784.996875
C1236,1925.8400000000001
C1237,1717.8372727272726
C1238,2017.4122222222222
C1239,1002.4075
C1240,4017.911666666667
C1241,1475.48
C1242,2587.715
C1243,2195.114375
C1244,2768.9733333333334
C1245,2285.9759999999997
C1246,2797.261
C1247,2373.899285714286
C1248,2708.3414285714284
C1249,2720.397
C1250,2334.5060000000003
C1251,3383.981111111111
C1252,2025.2930769230768
C1253,2402.573
C1254,1252.73
C1255,1858.395
C1256,3474.257142857143
